service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
-999,1,1,1,1,1,1,1,20240624,20240901
1,1,1,1,1,1,0,0,20240624,20240901
1101,0,0,0,0,0,0,0,20240624,20240901
118401,0,0,0,0,0,0,0,20240624,20240901
118402,0,0,0,0,0,0,0,20240624,20240901
118403,0,0,0,0,0,0,0,20240624,20240901
1201,0,0,0,0,0,0,0,20240624,20240901
152201,0,0,0,0,0,0,0,20240624,20240901
152301,0,0,0,0,0,0,0,20240624,20240901
155601,0,0,0,0,0,0,0,20240624,20240901
162503,0,0,0,0,0,0,0,20240624,20240901
162601,0,0,0,0,0,0,0,20240624,20240901
169801,0,0,0,0,0,0,0,20240624,20240901
1803,0,0,0,0,0,0,0,20240624,20240901
2,0,0,0,0,0,1,0,20240624,20240901
253403,0,0,0,0,0,0,0,20240624,20240901
259801,0,0,0,0,0,0,0,20240624,20240901
259802,0,0,0,0,0,0,0,20240624,20240901
259803,0,0,0,0,0,0,0,20240624,20240901
3,0,0,0,0,0,0,1,20240624,20240901
32603,0,0,0,0,0,0,0,20240624,20240901
49601,0,0,0,0,0,0,0,20240624,20240901
49602,0,0,0,0,0,0,0,20240624,20240901
49603,0,0,0,0,0,0,0,20240624,20240901
